280 unique slugs
batch 1/30 ok, 9 found
batch 2/30 ok, 18 found
batch 3/30 ok, 29 found
batch 4/30 ok, 39 found
batch 5/30 ok, 49 found
batch 6/30 ok, 60 found
batch 7/30 ok, 68 found
batch 8/30 ok, 77 found
batch 9/30 ok, 87 found
batch 10/30 ok, 97 found
batch 11/30 ok, 107 found
batch 12/30 ok, 118 found
batch 12 error HTTP Error 403: rate limit exceeded
batch 13/30 ok, 126 found
batch 14/30 ok, 135 found
batch 15/30 ok, 145 found
batch 16/30 ok, 155 found
batch 17/30 ok, 163 found
batch 18/30 ok, 170 found
batch 19/30 ok, 177 found
batch 20/30 ok, 186 found
batch 21/30 ok, 196 found
batch 22/30 ok, 205 found
batch 23/30 ok, 215 found
batch 24/30 ok, 224 found
batch 25/30 ok, 234 found
batch 26/30 ok, 245 found
batch 27/30 ok, 254 found
batch 28/30 ok, 263 found
batch 29/30 ok, 271 found
batch 30/30 ok, 272 found
8 missing from search; checking individually (renames)
wrote imports/github-metrics.json
